Date,Open,High,Low,Close,Volume
2016-01-04,726.5,732.31,705.0,720.5,2683227
2016-01-05,736.0,737.0,721.0,726.0,2455288
2016-01-06,725.0,725.0,708.76,716.0,2091262
2016-01-07,701.5,705.0,685.5,699.0,2156328
2016-01-08,701.0,704.0,689.5,689.5,2340388
2016-01-11,686.0,702.0,682.5,682.5,2350411
2016-01-12,685.0,712.0,680.0,694.0,3833971
2016-01-13,698.0,708.5,692.0,700.5,2755989
2016-01-14,691.0,722.0,689.5,719.5,3704804
2016-01-15,717.5,723.0,699.68,708.5,2787632
2016-01-18,704.5,708.5,684.5,692.0,3297349
2016-01-19,703.5,706.5,682.0,684.5,3807670
2016-01-20,675.0,675.5,644.5,657.5,4718562
2016-01-21,667.0,782.5,667.0,772.0,15243440
2016-01-22,788.5,790.0,740.0,757.5,7763239
2016-01-25,760.0,763.0,747.0,756.5,3548221
2016-01-26,746.5,771.5,738.5,769.5,3216934
2016-01-27,769.5,773.0,755.5,771.5,3336403
2016-01-28,769.5,791.0,769.5,777.0,3396804
2016-01-29,787.0,791.5,774.0,789.0,2665209
2016-02-01,795.0,806.0,782.5,789.0,3510623
2016-02-02,788.5,788.5,757.5,772.5,3294231
2016-02-03,769.5,772.5,749.5,757.5,2415596
2016-02-04,773.5,789.5,761.5,780.5,2984195
2016-02-05,779.0,803.0,768.38,778.5,3487830
2016-02-08,777.0,788.5,759.5,768.0,4064975
2016-02-09,767.0,773.0,744.0,752.0,3050307
2016-02-10,757.0,762.5,729.0,749.0,2615730
2016-02-11,744.5,744.5,715.0,719.5,3547465
2016-02-12,723.0,761.0,723.0,761.0,2797256
2016-02-15,779.5,783.5,769.5,778.0,1697395
2016-02-16,781.5,793.5,768.5,778.5,2230400
2016-02-17,782.5,811.0,782.5,799.4,3588122
2016-02-18,812.5,812.5,793.5,796.5,2258370
2016-02-19,796.5,800.5,789.0,794.0,1905674
2016-02-22,801.0,824.0,799.33,819.0,2492242
2016-02-23,812.5,814.73,789.5,793.0,2625177
2016-02-24,787.5,791.0,757.5,768.5,2719709
2016-02-25,773.5,805.0,773.5,801.5,2747722
2016-02-26,819.5,853.0,801.5,836.0,4637880
2016-02-29,835.0,866.0,832.0,859.0,5544439
2016-03-01,857.0,881.0,857.0,870.5,3796061
2016-03-02,856.0,862.0,846.0,856.0,3645918
2016-03-03,857.0,867.5,844.0,857.0,2989521
2016-03-04,857.0,877.5,857.0,871.5,2886794
2016-03-07,870.0,879.5,854.0,867.0,2266958
2016-03-08,857.0,887.5,856.0,874.0,3061302
2016-03-09,877.0,880.5,863.12,871.5,2137204
2016-03-10,868.5,877.5,849.0,850.0,3335027
2016-03-11,862.5,876.0,849.88,872.0,2493806
2016-03-14,877.0,885.5,869.0,877.5,2328881
2016-03-15,877.0,879.5,869.5,875.0,1593527
2016-03-16,877.5,890.0,874.58,887.0,1799723
2016-03-17,893.5,896.5,879.0,896.5,2516551
2016-03-18,895.0,909.5,887.63,894.5,7780995
2016-03-21,891.5,913.0,890.5,906.0,2750858
2016-03-22,902.5,913.0,859.0,913.0,2180505
2016-03-23,912.5,913.5,895.0,901.0,2543976
2016-03-24,896.0,897.5,880.32,883.0,1985431
2016-03-29,882.5,895.5,882.5,887.5,1861594
2016-03-30,894.0,911.5,894.0,905.5,2020147
2016-03-31,903.5,903.5,874.94,875.0,2981535
2016-04-01,866.0,866.5,844.0,848.5,3812100
2016-04-04,849.5,870.68,844.5,862.0,1997199
2016-04-05,862.0,866.0,841.5,862.5,3090032
2016-04-06,861.5,874.0,856.5,868.0,2996128
2016-04-07,836.0,836.0,802.0,825.0,3619495
2016-04-08,825.5,873.76,825.5,834.0,2074965
2016-04-11,829.0,847.5,828.0,834.5,1778872
2016-04-12,835.5,836.5,826.5,835.0,2991311
2016-04-13,845.5,863.85,820.5,841.0,2962326
2016-04-14,840.0,841.0,831.0,835.5,2401781
2016-04-15,836.5,867.63,826.0,836.5,1900070
2016-04-18,826.5,869.96,822.5,835.5,2015133
2016-04-19,834.0,846.5,821.5,846.5,2186843
2016-04-20,844.0,851.5,838.51,845.0,1841957
2016-04-21,847.5,854.0,830.5,834.5,2468308
2016-04-22,829.5,832.0,822.0,827.5,1962292
2016-04-25,825.5,830.5,808.0,808.0,2078316
2016-04-26,811.0,847.02,805.0,805.0,2031639
2016-04-27,803.0,809.0,802.0,804.5,2160932
2016-04-28,798.5,815.14,790.12,814.5,1973361
2016-04-29,808.0,813.0,798.5,805.0,2939650
2016-05-03,765.0,796.0,765.0,793.0,4564563
2016-05-04,793.5,794.0,781.0,784.5,2896484
2016-05-05,788.0,805.0,785.07,805.0,2173075
